"Date","Monthly_Anomaly","actual_temp"
1850 Jan,-0.469,11.831
1850 Feb,-0.66,11.84
1850 Mar,-0.427,12.703
1850 Apr,-0.81,13.25
1850 May,-0.375,14.625
1850 Jun,-0.362,15.298
1850 Jul,-0.331,15.569
1850 Aug,-0.256,15.494
1850 Sep,-0.33,14.85
1850 Oct,-0.376,13.894
1850 Nov,-0.177,13.103
1850 Dec,-0.548,12.022
1851 Jan,-0.433,11.867
1851 Feb,-0.325,12.175
1851 Mar,-0.343,12.787
1851 Apr,-0.749,13.311
1851 May,-0.3,14.7
1851 Jun,-0.322,15.338
1851 Jul,-0.182,15.718
1851 Aug,-0.296,15.454
1851 Sep,-0.397,14.783
1851 Oct,-0.305,13.965
1851 Nov,-0.654,12.626
1851 Dec,-0.373,12.197
1852 Jan,-0.734,11.566
1852 Feb,-0.435,12.065
1852 Mar,-0.633,12.497
1852 Apr,-0.713,13.347
1852 May,-0.36,14.64
1852 Jun,-0.056,15.604
1852 Jul,-0.158,15.742
1852 Aug,-0.176,15.574
1852 Sep,-0.047,15.133
1852 Oct,-0.305,13.965
1852 Nov,-0.079,13.201
1852 Dec,-0.258,12.312
1853 Jan,-0.501,11.799
1853 Feb,-0.126,12.374
1853 Mar,-0.301,12.829
1853 Apr,-0.229,13.831
1853 May,-0.115,14.885
1853 Jun,-0.016,15.644
1853 Jul,-0.146,15.754
1853 Aug,-0.232,15.518
1853 Sep,-0.165,15.015
1853 Oct,-0.255,14.015
1853 Nov,-0.406,12.874
1853 Dec,-0.264,12.306
1854 Jan,-0.565,11.735
1854 Feb,-0.486,12.014
1854 Mar,-0.258,12.872
1854 Apr,-0.361,13.699
1854 May,-0.37,14.63
1854 Jun,-0.318,15.342
1854 Jul,-0.286,15.614
1854 Aug,-0.212,15.538
1854 Sep,-0.119,15.061
1854 Oct,-0.27,14
1854 Nov,-0.086,13.194
1854 Dec,-0.242,12.328
1855 Jan,-0.238,12.062
1855 Feb,-0.241,12.259
1855 Mar,-0.199,12.931
1855 Apr,-0.322,13.738
1855 May,-0.258,14.742
1855 Jun,-0.217,15.443
1855 Jul,-0.431,15.469
1855 Aug,-0.172,15.578
1855 Sep,-0.177,15.003
1855 Oct,-0.032,14.238
1855 Nov,-0.184,13.096
1855 Dec,-0.466,12.104
1856 Jan,-0.333,11.967
1856 Feb,-0.296,12.204
1856 Mar,-0.16,12.97
1856 Apr,-0.683,13.377
1856 May,-0.386,14.614
1856 Jun,-0.182,15.478
1856 Jul,-0.213,15.687
1856 Aug,-0.59,15.16
1856 Sep,-0.667,14.513
1856 Oct,-0.409,13.861
1856 Nov,-0.417,12.863
1856 Dec,-0.666,11.904
1857 Jan,-0.578,11.722
1857 Feb,-0.653,11.847
1857 Mar,-0.708,12.422
1857 Apr,-0.612,13.448
1857 May,-0.381,14.619
1857 Jun,-0.364,15.296
1857 Jul,-0.634,15.266
1857 Aug,-0.453,15.297
1857 Sep,-0.484,14.696
1857 Oct,-0.401,13.869
1857 Nov,-0.423,12.857
1857 Dec,-0.32,12.25
1858 Jan,-0.623,11.677
1858 Feb,-0.279,12.221
1858 Mar,-0.206,12.924
1858 Apr,-0.41,13.65
1858 May,-0.355,14.645
1858 Jun,-0.429,15.231
1858 Jul,-0.369,15.531
1858 Aug,-0.264,15.486
1858 Sep,-0.405,14.775
1858 Oct,-0.301,13.969
1858 Nov,-0.407,12.873
1858 Dec,-0.427,12.143
1859 Jan,-0.527,11.773
1859 Feb,-0.302,12.198
1859 Mar,-0.465,12.665
1859 Apr,-0.191,13.869
1859 May,-0.217,14.783
1859 Jun,-0.102,15.558
1859 Jul,-0.431,15.469
1859 Aug,-0.221,15.529
1859 Sep,-0.598,14.582
1859 Oct,-0.31,13.96
1859 Nov,-0.318,12.962
1859 Dec,-0.374,12.196
1860 Jan,-0.336,11.964
1860 Feb,-0.239,12.261
1860 Mar,-0.14,12.99
1860 Apr,-0.214,13.846
1860 May,-0.24,14.76
1860 Jun,-0.206,15.454
1860 Jul,-0.362,15.538
1860 Aug,-0.376,15.374
1860 Sep,-0.122,15.058
1860 Oct,-0.388,13.882
1860 Nov,-0.318,12.962
1860 Dec,-0.413,12.157
1861 Jan,-0.377,11.923
1861 Feb,-0.813,11.687
1861 Mar,-0.451,12.679
1861 Apr,0.004,14.064
1861 May,-0.403,14.597
1861 Jun,-0.048,15.612
1861 Jul,-0.292,15.608
1861 Aug,-0.237,15.513
1861 Sep,-0.294,14.886
1861 Oct,-0.42,13.85
1861 Nov,-0.013,13.267
1861 Dec,-0.577,11.993
1862 Jan,-0.716,11.584
1862 Feb,-0.704,11.796
1862 Mar,-0.654,12.476
1862 Apr,-0.478,13.582
1862 May,-0.258,14.742
1862 Jun,-0.372,15.288
1862 Jul,-0.494,15.406
1862 Aug,-0.389,15.361
1862 Sep,-0.284,14.896
1862 Oct,-0.197,14.073
1862 Nov,-0.546,12.734
1862 Dec,-0.708,11.862
1863 Jan,-0.601,11.699
1863 Feb,-0.532,11.968
1863 Mar,-0.353,12.777
1863 Apr,-0.185,13.875
1863 May,-0.29,14.71
1863 Jun,-0.498,15.162
1863 Jul,-0.501,15.399
1863 Aug,-0.583,15.167
1863 Sep,-0.573,14.607
1863 Oct,-0.468,13.802
1863 Nov,-0.374,12.906
1863 Dec,-0.343,12.227
1864 Jan,-0.544,11.756
1864 Feb,-0.582,11.918
1864 Mar,-0.521,12.609
1864 Apr,-0.684,13.376
1864 May,-0.292,14.708
1864 Jun,-0.143,15.517
1864 Jul,-0.16,15.74
1864 Aug,-0.417,15.333
1864 Sep,-0.42,14.76
1864 Oct,-0.324,13.946
1864 Nov,-0.164,13.116
1864 Dec,-0.328,12.242
1865 Jan,-0.035,12.265
1865 Feb,-0.047,12.453
1865 Mar,-0.164,12.966
1865 Apr,-0.203,13.857
1865 May,-0.243,14.757
1865 Jun,0.015,15.675
1865 Jul,0.077,15.977
1865 Aug,-0.155,15.595
1865 Sep,-0.115,15.065
1865 Oct,-0.228,14.042
1865 Nov,-0.121,13.159
1865 Dec,-0.149,12.421
1866 Jan,-0.271,12.029
1866 Feb,-0.233,12.267
1866 Mar,-0.302,12.828
1866 Apr,-0.21,13.85
1866 May,-0.557,14.443
1866 Jun,-0.186,15.474
1866 Jul,-0.007,15.893
1866 Aug,-0.18,15.57
1866 Sep,-0.434,14.746
1866 Oct,-0.207,14.063
1866 Nov,-0.124,13.156
1866 Dec,-0.138,12.432
1867 Jan,-0.383,11.917
1867 Feb,-0.485,12.015
1867 Mar,-0.3,12.83
1867 Apr,-0.455,13.605
1867 May,-0.413,14.587
1867 Jun,-0.204,15.456
1867 Jul,-0.231,15.669
1867 Aug,-0.499,15.251
1867 Sep,-0.213,14.967
1867 Oct,-0.239,14.031
1867 Nov,-0.293,12.987
1867 Dec,-0.517,12.053
1868 Jan,-0.22,12.08
1868 Feb,-0.444,12.056
1868 Mar,-0.203,12.927
1868 Apr,-0.091,13.969
1868 May,-0.115,14.885
1868 Jun,-0.048,15.612
1868 Jul,-0.071,15.829
1868 Aug,-0.061,15.689
1868 Sep,-0.058,15.122
1868 Oct,0,14.27
1868 Nov,-0.097,13.183
1868 Dec,-0.113,12.457
1869 Jan,-0.206,12.094
1869 Feb,-0.038,12.462
1869 Mar,-0.403,12.727
1869 Apr,-0.266,13.794
1869 May,-0.043,14.957
1869 Jun,-0.154,15.506
1869 Jul,-0.403,15.497
1869 Aug,-0.479,15.271
1869 Sep,-0.285,14.895
1869 Oct,-0.386,13.884
1869 Nov,-0.084,13.196
1869 Dec,-0.371,12.199
1870 Jan,-0.453,11.847
1870 Feb,-0.267,12.233
1870 Mar,-0.216,12.914
1870 Apr,-0.118,13.942
1870 May,-0.33,14.67
1870 Jun,-0.236,15.424
1870 Jul,-0.144,15.756
1870 Aug,-0.162,15.588
1870 Sep,-0.41,14.77
1870 Oct,-0.452,13.818
1870 Nov,-0.506,12.774
1870 Dec,-0.469,12.101
1871 Jan,-0.329,11.971
1871 Feb,-0.285,12.215
1871 Mar,-0.239,12.891
1871 Apr,-0.243,13.817
1871 May,-0.015,14.985
1871 Jun,-0.102,15.558
1871 Jul,-0.178,15.722
1871 Aug,-0.162,15.588
1871 Sep,-0.348,14.832
1871 Oct,-0.294,13.976
1871 Nov,-0.25,13.03
1871 Dec,-0.202,12.368
1872 Jan,-0.204,12.096
1872 Feb,-0.179,12.321
1872 Mar,-0.283,12.847
1872 Apr,-0.333,13.727
1872 May,-0.028,14.972
1872 Jun,-0.265,15.395
1872 Jul,-0.145,15.755
1872 Aug,-0.039,15.711
1872 Sep,-0.15,15.03
1872 Oct,-0.38,13.89
1872 Nov,-0.482,12.798
1872 Dec,-0.329,12.241
1873 Jan,-0.285,12.015
1873 Feb,-0.195,12.305
1873 Mar,-0.173,12.957
1873 Apr,-0.312,13.748
1873 May,-0.207,14.793
1873 Jun,-0.302,15.358
1873 Jul,-0.18,15.72
1873 Aug,-0.123,15.627
1873 Sep,-0.365,14.815
1873 Oct,-0.383,13.887
1873 Nov,-0.27,13.01
1873 Dec,-0.256,12.314
1874 Jan,-0.287,12.013
1874 Feb,-0.457,12.043
1874 Mar,-0.46,12.67
1874 Apr,-0.47,13.59
1874 May,-0.448,14.552
1874 Jun,-0.543,15.117
1874 Jul,-0.354,15.546
1874 Aug,-0.337,15.413
1874 Sep,-0.172,15.008
1874 Oct,-0.492,13.778
1874 Nov,-0.349,12.931
1874 Dec,-0.321,12.249
1875 Jan,-0.251,12.049
1875 Feb,-0.192,12.308
1875 Mar,-0.506,12.624
1875 Apr,-0.337,13.723
1875 May,-0.21,14.79
1875 Jun,-0.365,15.295
1875 Jul,-0.246,15.654
1875 Aug,-0.198,15.552
1875 Sep,-0.09,15.09
1875 Oct,-0.042,14.228
1875 Nov,-0.256,13.024
1875 Dec,-0.447,12.123
1876 Jan,-0.356,11.944
1876 Feb,-0.323,12.177
1876 Mar,-0.182,12.948
1876 Apr,-0.294,13.766
1876 May,-0.445,14.555
1876 Jun,-0.385,15.275
1876 Jul,-0.179,15.721
1876 Aug,-0.259,15.491
1876 Sep,-0.362,14.818
1876 Oct,-0.173,14.097
1876 Nov,-0.311,12.969
1876 Dec,-0.276,12.294
1877 Jan,-0.113,12.187
1877 Feb,0.021,12.521
1877 Mar,0.016,13.146
1877 Apr,-0.048,14.012
1877 May,0.067,15.067
1877 Jun,-0.078,15.582
1877 Jul,-0.002,15.898
1877 Aug,-0.031,15.719
1877 Sep,0.026,15.206
1877 Oct,0.04,14.31
1877 Nov,0.021,13.301
1877 Dec,0.089,12.659
1878 Jan,0.075,12.375
1878 Feb,0.171,12.671
1878 Mar,0.368,13.498
1878 Apr,0.272,14.332
1878 May,0.006,15.006
1878 Jun,0.08,15.74
1878 Jul,0.17,16.07
1878 Aug,0.013,15.763
1878 Sep,0.01,15.19
1878 Oct,-0.073,14.197
1878 Nov,-0.048,13.232
1878 Dec,-0.033,12.537
1879 Jan,0.037,12.337
1879 Feb,-0.127,12.373
1879 Mar,-0.069,13.061
1879 Apr,-0.126,13.934
1879 May,-0.171,14.829
1879 Jun,-0.251,15.409
1879 Jul,-0.257,15.643
1879 Aug,-0.31,15.44
1879 Sep,-0.361,14.819
1879 Oct,-0.145,14.125
1879 Nov,-0.218,13.062
1879 Dec,-0.547,12.023
1880 Jan,-0.391,11.909
1880 Feb,-0.367,12.133
1880 Mar,-0.252,12.878
1880 Apr,-0.262,13.798
1880 May,-0.084,14.916
1880 Jun,-0.207,15.453
