Date,CO2 PPM
1896 Jan,294.9
1896 Feb,294.9
1896 Mar,294.9
1896 Apr,294.9
1896 May,294.9
1896 Jun,294.9
1896 Jul,294.9
1896 Aug,294.9
1896 Sep,294.9
1896 Oct,294.9
1896 Nov,294.9
1896 Dec,294.9
1897 Jan,295
1897 Feb,295
1897 Mar,295
1897 Apr,295
1897 May,295
1897 Jun,295
1897 Jul,295
1897 Aug,295
1897 Sep,295
1897 Oct,295
1897 Nov,295
1897 Dec,295
1898 Jan,295.2
1898 Feb,295.2
1898 Mar,295.2
1898 Apr,295.2
1898 May,295.2
1898 Jun,295.2
1898 Jul,295.2
1898 Aug,295.2
1898 Sep,295.2
1898 Oct,295.2
1898 Nov,295.2
1898 Dec,295.2
1899 Jan,295.5
1899 Feb,295.5
1899 Mar,295.5
1899 Apr,295.5
1899 May,295.5
1899 Jun,295.5
1899 Jul,295.5
1899 Aug,295.5
1899 Sep,295.5
1899 Oct,295.5
1899 Nov,295.5
1899 Dec,295.5
1900 Jan,295.8
1900 Feb,295.8
1900 Mar,295.8
1900 Apr,295.8
1900 May,295.8
1900 Jun,295.8
1900 Jul,295.8
1900 Aug,295.8
1900 Sep,295.8
1900 Oct,295.8
1900 Nov,295.8
1900 Dec,295.8
1901 Jan,296.1
1901 Feb,296.1
1901 Mar,296.1
1901 Apr,296.1
1901 May,296.1
1901 Jun,296.1
1901 Jul,296.1
1901 Aug,296.1
1901 Sep,296.1
1901 Oct,296.1
1901 Nov,296.1
1901 Dec,296.1
1902 Jan,296.5
1902 Feb,296.5
1902 Mar,296.5
1902 Apr,296.5
1902 May,296.5
1902 Jun,296.5
1902 Jul,296.5
1902 Aug,296.5
1902 Sep,296.5
1902 Oct,296.5
1902 Nov,296.5
1902 Dec,296.5
1903 Jan,296.8
1903 Feb,296.8
1903 Mar,296.8
1903 Apr,296.8
1903 May,296.8
1903 Jun,296.8
1903 Jul,296.8
1903 Aug,296.8
1903 Sep,296.8
1903 Oct,296.8
1903 Nov,296.8
1903 Dec,296.8
1904 Jan,297.2
1904 Feb,297.2
1904 Mar,297.2
1904 Apr,297.2
1904 May,297.2
1904 Jun,297.2
1904 Jul,297.2
1904 Aug,297.2
1904 Sep,297.2
1904 Oct,297.2
1904 Nov,297.2
1904 Dec,297.2
1905 Jan,297.6
1905 Feb,297.6
1905 Mar,297.6
1905 Apr,297.6
1905 May,297.6
1905 Jun,297.6
1905 Jul,297.6
1905 Aug,297.6
1905 Sep,297.6
1905 Oct,297.6
1905 Nov,297.6
1905 Dec,297.6
1906 Jan,298.1
1906 Feb,298.1
1906 Mar,298.1
1906 Apr,298.1
1906 May,298.1
1906 Jun,298.1
1906 Jul,298.1
1906 Aug,298.1
1906 Sep,298.1
1906 Oct,298.1
1906 Nov,298.1
1906 Dec,298.1
1907 Jan,298.5
1907 Feb,298.5
1907 Mar,298.5
1907 Apr,298.5
1907 May,298.5
1907 Jun,298.5
1907 Jul,298.5
1907 Aug,298.5
1907 Sep,298.5
1907 Oct,298.5
1907 Nov,298.5
1907 Dec,298.5
1908 Jan,298.9
1908 Feb,298.9
1908 Mar,298.9
1908 Apr,298.9
1908 May,298.9
1908 Jun,298.9
1908 Jul,298.9
1908 Aug,298.9
1908 Sep,298.9
1908 Oct,298.9
1908 Nov,298.9
1908 Dec,298.9
1909 Jan,299.3
1909 Feb,299.3
1909 Mar,299.3
1909 Apr,299.3
1909 May,299.3
1909 Jun,299.3
1909 Jul,299.3
1909 Aug,299.3
1909 Sep,299.3
1909 Oct,299.3
1909 Nov,299.3
1909 Dec,299.3
1910 Jan,299.7
1910 Feb,299.7
1910 Mar,299.7
1910 Apr,299.7
1910 May,299.7
1910 Jun,299.7
1910 Jul,299.7
1910 Aug,299.7
1910 Sep,299.7
1910 Oct,299.7
1910 Nov,299.7
1910 Dec,299.7
1911 Jan,300.1
1911 Feb,300.1
1911 Mar,300.1
1911 Apr,300.1
1911 May,300.1
1911 Jun,300.1
1911 Jul,300.1
1911 Aug,300.1
1911 Sep,300.1
1911 Oct,300.1
1911 Nov,300.1
1911 Dec,300.1
1912 Jan,300.4
1912 Feb,300.4
1912 Mar,300.4
1912 Apr,300.4
1912 May,300.4
1912 Jun,300.4
1912 Jul,300.4
1912 Aug,300.4
1912 Sep,300.4
1912 Oct,300.4
1912 Nov,300.4
1912 Dec,300.4
1913 Jan,300.8
1913 Feb,300.8
1913 Mar,300.8
1913 Apr,300.8
1913 May,300.8
1913 Jun,300.8
1913 Jul,300.8
1913 Aug,300.8
1913 Sep,300.8
1913 Oct,300.8
1913 Nov,300.8
1913 Dec,300.8
1914 Jan,301.1
1914 Feb,301.1
1914 Mar,301.1
1914 Apr,301.1
1914 May,301.1
1914 Jun,301.1
1914 Jul,301.1
1914 Aug,301.1
1914 Sep,301.1
1914 Oct,301.1
1914 Nov,301.1
1914 Dec,301.1
1915 Jan,301.4
1915 Feb,301.4
1915 Mar,301.4
1915 Apr,301.4
1915 May,301.4
1915 Jun,301.4
1915 Jul,301.4
1915 Aug,301.4
1915 Sep,301.4
1915 Oct,301.4
1915 Nov,301.4
1915 Dec,301.4
1916 Jan,301.7
1916 Feb,301.7
1916 Mar,301.7
1916 Apr,301.7
1916 May,301.7
1916 Jun,301.7
1916 Jul,301.7
1916 Aug,301.7
1916 Sep,301.7
1916 Oct,301.7
1916 Nov,301.7
1916 Dec,301.7
1917 Jan,302.1
1917 Feb,302.1
1917 Mar,302.1
1917 Apr,302.1
1917 May,302.1
1917 Jun,302.1
1917 Jul,302.1
1917 Aug,302.1
1917 Sep,302.1
1917 Oct,302.1
1917 Nov,302.1
1917 Dec,302.1
1918 Jan,302.4
1918 Feb,302.4
1918 Mar,302.4
1918 Apr,302.4
1918 May,302.4
1918 Jun,302.4
1918 Jul,302.4
1918 Aug,302.4
1918 Sep,302.4
1918 Oct,302.4
1918 Nov,302.4
1918 Dec,302.4
1919 Jan,302.7
1919 Feb,302.7
1919 Mar,302.7
1919 Apr,302.7
1919 May,302.7
1919 Jun,302.7
1919 Jul,302.7
1919 Aug,302.7
1919 Sep,302.7
1919 Oct,302.7
1919 Nov,302.7
1919 Dec,302.7
1920 Jan,303
1920 Feb,303
1920 Mar,303
1920 Apr,303
1920 May,303
1920 Jun,303
1920 Jul,303
1920 Aug,303
1920 Sep,303
1920 Oct,303
1920 Nov,303
1920 Dec,303
1921 Jan,303.4
1921 Feb,303.4
1921 Mar,303.4
1921 Apr,303.4
1921 May,303.4
1921 Jun,303.4
1921 Jul,303.4
1921 Aug,303.4
1921 Sep,303.4
1921 Oct,303.4
1921 Nov,303.4
1921 Dec,303.4
1922 Jan,303.8
1922 Feb,303.8
1922 Mar,303.8
1922 Apr,303.8
1922 May,303.8
1922 Jun,303.8
1922 Jul,303.8
1922 Aug,303.8
1922 Sep,303.8
1922 Oct,303.8
1922 Nov,303.8
1922 Dec,303.8
1923 Jan,304.1
1923 Feb,304.1
1923 Mar,304.1
1923 Apr,304.1
1923 May,304.1
1923 Jun,304.1
1923 Jul,304.1
1923 Aug,304.1
1923 Sep,304.1
1923 Oct,304.1
1923 Nov,304.1
1923 Dec,304.1
1924 Jan,304.5
1924 Feb,304.5
1924 Mar,304.5
1924 Apr,304.5
1924 May,304.5
1924 Jun,304.5
1924 Jul,304.5
1924 Aug,304.5
1924 Sep,304.5
1924 Oct,304.5
1924 Nov,304.5
1924 Dec,304.5
1925 Jan,305
1925 Feb,305
1925 Mar,305
1925 Apr,305
1925 May,305
1925 Jun,305
1925 Jul,305
1925 Aug,305
1925 Sep,305
1925 Oct,305
1925 Nov,305
1925 Dec,305
1926 Jan,305.4
1926 Feb,305.4
1926 Mar,305.4
1926 Apr,305.4
1926 May,305.4
1926 Jun,305.4
1926 Jul,305.4
1926 Aug,305.4
1926 Sep,305.4
1926 Oct,305.4
1926 Nov,305.4
1926 Dec,305.4
1927 Jan,305.8
1927 Feb,305.8
1927 Mar,305.8
1927 Apr,305.8
1927 May,305.8
1927 Jun,305.8
1927 Jul,305.8
1927 Aug,305.8
1927 Sep,305.8
1927 Oct,305.8
1927 Nov,305.8
1927 Dec,305.8
1928 Jan,306.3
1928 Feb,306.3
1928 Mar,306.3
1928 Apr,306.3
1928 May,306.3
1928 Jun,306.3
1928 Jul,306.3
1928 Aug,306.3
1928 Sep,306.3
1928 Oct,306.3
1928 Nov,306.3
1928 Dec,306.3
1929 Jan,306.8
1929 Feb,306.8
1929 Mar,306.8
1929 Apr,306.8
1929 May,306.8
1929 Jun,306.8
1929 Jul,306.8
1929 Aug,306.8
1929 Sep,306.8
1929 Oct,306.8
1929 Nov,306.8
1929 Dec,306.8
1930 Jan,307.2
1930 Feb,307.2
1930 Mar,307.2
1930 Apr,307.2
1930 May,307.2
1930 Jun,307.2
1930 Jul,307.2
1930 Aug,307.2
1930 Sep,307.2
1930 Oct,307.2
1930 Nov,307.2
1930 Dec,307.2
1931 Jan,307.7
1931 Feb,307.7
1931 Mar,307.7
1931 Apr,307.7
1931 May,307.7
1931 Jun,307.7
1931 Jul,307.7
1931 Aug,307.7
1931 Sep,307.7
1931 Oct,307.7
1931 Nov,307.7
1931 Dec,307.7
1932 Jan,308.2
1932 Feb,308.2
1932 Mar,308.2
1932 Apr,308.2
1932 May,308.2
1932 Jun,308.2
1932 Jul,308.2
1932 Aug,308.2
1932 Sep,308.2
1932 Oct,308.2
1932 Nov,308.2
1932 Dec,308.2
1933 Jan,308.6
1933 Feb,308.6
1933 Mar,308.6
1933 Apr,308.6
1933 May,308.6
1933 Jun,308.6
1933 Jul,308.6
1933 Aug,308.6
1933 Sep,308.6
1933 Oct,308.6
1933 Nov,308.6
1933 Dec,308.6
1934 Jan,309
1934 Feb,309
1934 Mar,309
1934 Apr,309
1934 May,309
1934 Jun,309
1934 Jul,309
1934 Aug,309
1934 Sep,309
1934 Oct,309
1934 Nov,309
1934 Dec,309
1935 Jan,309.4
1935 Feb,309.4
1935 Mar,309.4
1935 Apr,309.4
1935 May,309.4
1935 Jun,309.4
1935 Jul,309.4
1935 Aug,309.4
1935 Sep,309.4
1935 Oct,309.4
1935 Nov,309.4
1935 Dec,309.4
1936 Jan,309.8
1936 Feb,309.8
1936 Mar,309.8
1936 Apr,309.8
1936 May,309.8
1936 Jun,309.8
1936 Jul,309.8
1936 Aug,309.8
1936 Sep,309.8
1936 Oct,309.8
1936 Nov,309.8
1936 Dec,309.8
1937 Jan,310
1937 Feb,310
1937 Mar,310
1937 Apr,310
1937 May,310
1937 Jun,310
1937 Jul,310
1937 Aug,310
1937 Sep,310
1937 Oct,310
1937 Nov,310
1937 Dec,310
1938 Jan,310.2
1938 Feb,310.2
1938 Mar,310.2
1938 Apr,310.2
1938 May,310.2
1938 Jun,310.2
1938 Jul,310.2
1938 Aug,310.2
1938 Sep,310.2
1938 Oct,310.2
1938 Nov,310.2
1938 Dec,310.2
1939 Jan,310.3
1939 Feb,310.3
1939 Mar,310.3
1939 Apr,310.3
1939 May,310.3
1939 Jun,310.3
1939 Jul,310.3
1939 Aug,310.3
1939 Sep,310.3
1939 Oct,310.3
1939 Nov,310.3
1939 Dec,310.3
1940 Jan,310.4
1940 Feb,310.4
1940 Mar,310.4
1940 Apr,310.4
1940 May,310.4
1940 Jun,310.4
1940 Jul,310.4
1940 Aug,310.4
1940 Sep,310.4
1940 Oct,310.4
1940 Nov,310.4
1940 Dec,310.4
1941 Jan,310.4
1941 Feb,310.4
1941 Mar,310.4
1941 Apr,310.4
1941 May,310.4
1941 Jun,310.4
1941 Jul,310.4
1941 Aug,310.4
1941 Sep,310.4
1941 Oct,310.4
1941 Nov,310.4
1941 Dec,310.4
1942 Jan,310.3
1942 Feb,310.3
1942 Mar,310.3
1942 Apr,310.3
1942 May,310.3
1942 Jun,310.3
1942 Jul,310.3
1942 Aug,310.3
1942 Sep,310.3
1942 Oct,310.3
1942 Nov,310.3
1942 Dec,310.3
1943 Jan,310.2
1943 Feb,310.2
1943 Mar,310.2
1943 Apr,310.2
1943 May,310.2
1943 Jun,310.2
1943 Jul,310.2
1943 Aug,310.2
1943 Sep,310.2
1943 Oct,310.2
1943 Nov,310.2
1943 Dec,310.2
1944 Jan,310.1
1944 Feb,310.1
1944 Mar,310.1
1944 Apr,310.1
1944 May,310.1
1944 Jun,310.1
1944 Jul,310.1
1944 Aug,310.1
1944 Sep,310.1
1944 Oct,310.1
1944 Nov,310.1
1944 Dec,310.1
1945 Jan,310.1
1945 Feb,310.1
1945 Mar,310.1
1945 Apr,310.1
1945 May,310.1
1945 Jun,310.1
1945 Jul,310.1
1945 Aug,310.1
1945 Sep,310.1
1945 Oct,310.1
1945 Nov,310.1
1945 Dec,310.1
1946 Jan,310.1
1946 Feb,310.1
1946 Mar,310.1
1946 Apr,310.1
1946 May,310.1
1946 Jun,310.1
1946 Jul,310.1
1946 Aug,310.1
1946 Sep,310.1
1946 Oct,310.1
1946 Nov,310.1
1946 Dec,310.1
1947 Jan,310.2
1947 Feb,310.2
1947 Mar,310.2
1947 Apr,310.2
1947 May,310.2
1947 Jun,310.2
1947 Jul,310.2
1947 Aug,310.2
1947 Sep,310.2
1947 Oct,310.2
1947 Nov,310.2
1947 Dec,310.2
1948 Jan,310.3
1948 Feb,310.3
1948 Mar,310.3
1948 Apr,310.3
1948 May,310.3
1948 Jun,310.3
1948 Jul,310.3
1948 Aug,310.3
1948 Sep,310.3
