Year,Month,Monthly_Anomaly,Monthly_Unc,Annual_Anomaly,Annual_Unc,FiveYear_Anomaly,FiveYear_Unc,TenYear_Anomaly,TenYear_Unc,TwentyYear_Anomaly,TwentyYear_Unc
1850,1,-0.469,0.662,,,,,,,,
1850,2,-0.66,0.456,,,,,,,,
1850,3,-0.427,0.611,,,,,,,,
1850,4,-0.81,0.347,,,,,,,,
1850,5,-0.375,0.44,,,,,,,,
1850,6,-0.362,0.384,-0.427,0.232,,,,,,
1850,7,-0.331,0.416,-0.424,0.233,,,,,,
1850,8,-0.256,0.311,-0.396,0.218,,,,,,
1850,9,-0.33,0.225,-0.389,0.205,,,,,,
1850,10,-0.376,0.281,-0.384,0.206,,,,,,
1850,11,-0.177,0.642,-0.377,0.194,,,,,,
1850,12,-0.548,0.349,-0.374,0.175,,,,,,
1851,1,-0.433,0.516,-0.362,0.169,,,,,,
1851,2,-0.325,0.349,-0.365,0.154,,,,,,
1851,3,-0.343,0.547,-0.371,0.147,,,,,,
1851,4,-0.749,0.452,-0.365,0.129,,,,,,
1851,5,-0.3,0.316,-0.404,0.127,,,,,,
1851,6,-0.322,0.232,-0.39,0.128,,,,,,
1851,7,-0.182,0.353,-0.415,0.136,,,,,,
1851,8,-0.296,0.148,-0.424,0.139,,,,,,
1851,9,-0.397,0.267,-0.448,0.142,,,,,,
1851,10,-0.305,0.312,-0.445,0.171,,,,,,
1851,11,-0.654,0.53,-0.45,0.167,,,,,,
1851,12,-0.373,0.475,-0.428,0.169,,,,,,
1852,1,-0.734,0.431,-0.426,0.171,,,,,,
1852,2,-0.435,0.42,-0.416,0.188,,,,,,
1852,3,-0.633,0.517,-0.387,0.212,,,,,,
1852,4,-0.713,0.342,-0.387,0.209,,,,,,
1852,5,-0.36,0.278,-0.339,0.208,,,,,,
1852,6,-0.056,0.336,-0.329,0.218,-0.335,0.167,,,,
1852,7,-0.158,0.4,-0.31,0.224,-0.331,0.164,,,,
1852,8,-0.176,0.35,-0.284,0.227,-0.324,0.164,,,,
1852,9,-0.047,0.366,-0.257,0.233,-0.32,0.162,,,,
1852,10,-0.305,0.285,-0.216,0.236,-0.312,0.161,,,,
1852,11,-0.079,0.423,-0.196,0.246,-0.31,0.16,,,,
1852,12,-0.258,0.429,-0.192,0.246,-0.308,0.162,,,,
1853,1,-0.501,0.566,-0.191,0.237,-0.309,0.163,,,,
1853,2,-0.126,0.401,-0.196,0.244,-0.308,0.164,,,,
1853,3,-0.301,0.291,-0.206,0.248,-0.305,0.165,,,,
