Year,World
1850,53.72478025
1851,54.25178677
1852,56.65804874
1853,59.28956546
1854,69.60659311
1855,71.03161879
1856,75.94040035
1857,76.74155246
1858,77.93351244
1859,82.57974223
1860,90.69281006
1861,95.30299521
1862,97.15913696
1863,103.5848494
1864,111.7700417
1865,118.6821314
1866,122.5619609
1867,131.2265034
1868,134.9600238
1869,143.2126261
1870,146.3218549
1871,155.5067103
1872,172.2056423
1873,182.9877765
1874,171.5781209
1875,185.8755413
1876,188.477763
1877,192.148707
1878,193.6816455
1879,207.3674645
1880,234.1855004
1881,242.3485177
1882,255.9738595
1883,272.2474233
1884,275.4994004
1885,277.6049536
1886,281.8268767
1887,295.7771602
1888,327.7297053
1889,327.9247359
1890,356.6023918
1891,373.6123381
1892,376.5854152
1893,371.8654519
1894,385.2437027
1895,408.0892026
1896,421.5777492
1897,441.455458
1898,465.6006764
1899,508.4976488
1900,535.3413592
1901,552.3918699
1902,566.2664722
1903,617.3706789
1904,624.3202319
1905,665.1370311
1906,694.4557141
1907,791.5733286
1908,760.2856623
1909,791.8032846
1910,830.602047
1911,843.367392
1912,886.0472387
1913,959.7524491
1914,870.5748642
1915,857.0623725
1916,925.7568892
1917,968.3783625
1918,955.154564
1919,828.0129297
1920,965.5669375
1921,847.7576769
1922,888.2267039
1923,1007.286494
1924,1010.58326
1925,1020.91526
1926,1003.659234
1927,1095.236732
1928,1090.696433
1929,1170.363376
1930,1080.266364
1931,965.9717082
1932,871.3404828
1933,917.7629401
1934,997.8676912
1935,1046.872967
1936,1148.452716
1937,1227.269483
1938,1154.372056
1939,1220.014923
1940,1333.150526
1941,1364.381203
1942,1359.859185
1943,1385.172817
1944,1408.975588
1945,1170.663944
1946,1257.79121
1947,1409.717655
1948,1486.868111
1949,1420.315318
1950,1618.516332
1951,1741.656336
1952,1765.136577
1953,1815.197933
1954,1853.037407
1955,2031.630949
1956,2163.213024
1957,2234.073358
1958,2297.267418
1959,2416.672802
1960,2561.956989
1961,2569.60757
1962,2660.285798
1963,2802.066652
1964,2954.275682
1965,3086.954269
1966,3237.621813
1967,3339.893361
1968,3522.184244
1969,3755.945767
1970,4066.354923
1971,4231.401397
1972,4428.110439
1973,4662.962036
1974,4642.759739
1975,4654.135542
1976,4909.692158
1977,5048.75388
1978,5204.500693
1979,5351.806848
1980,5318.920417
1981,5191.840824
1982,5150.4088170000005
1983,5183.381668
1984,5362.391217
1985,5543.641273
1986,5626.354583
1987,5799.69285
1988,6027.600986
1989,6109.890141
1990,6203.3265
1991,6328.084455
1992,6148.518568
1993,6210.640553
1994,6275.367603
1995,6422.511737
1996,6620.678889
1997,6659.908762
1998,6633.126996
1999,6783.22262
2000,6962.487117
2001,7015.909784
2002,7171.634478
2003,7551.716646
2004,7814.548562
2005,8082.531141
2006,8359.278412
2007,8606.616821
2008,8753.875153
2009,8608.60315
2010,9103.685437
2011,9417.177434
2012,9552.407299
2013,9634.731399
2014,9675.244199
2015,9662.908562
2016,9666.117925
2017,9822.570381
2018,10024.67974
2019,10126.71339
2020,9586.933986
2021,10095.99789
2022,10178.4488
2023,10314.29277
