Year,Average
1850,720.144575
1851,769.572695
1852,779.88435
1853,793.0140925
1854,795.5337975
1855,785.621435
1856,810.28388
1857,805.427085
1858,811.9066475
1859,829.3336675
1860,758.9622325
1861,755.28421
1862,747.9398275
1863,738.843395
1864,714.7136225
1865,701.810485
1866,711.8225775
1867,701.479895
1868,692.865925
1869,705.4817075
1870,773.785845
1871,779.0724225
1872,833.109565
1873,813.3762725
1874,867.36188
1875,890.399705
1876,896.1188575
1877,868.3025125
1878,894.354855
1879,892.50771
1880,922.5754175
1881,921.691985
1882,970.6984375
1883,949.4827275
1884,991.3342975
1885,991.059195
1886,967.6141375
1887,1007.490138
1888,973.36834
1889,1003.737088
1890,1078.145655
1891,1135.545535
1892,1119.496478
1893,1170.494323
1894,1174.718915
1895,1176.16945
1896,1158.464213
1897,1202.0653
1898,1189.119368
1899,1213.86755
1900,1229.829088
1901,1237.108585
1902,1262.88628
1903,1254.624413
1904,1277.0388
1905,1317.342845
1906,1320.22528
1907,1295.99799
1908,1320.642663
1909,1349.939268
1910,1295.54724
1911,1317.347713
1912,1278.98816
1913,1232.139018
1914,1254.47749
1915,1247.58414
1916,1234.349243
1917,1240.54938
1918,1241.400733
1919,1223.054048
1920,1256.419225
1921,1320.674313
1922,1310.744078
1923,1339.44994
1924,1343.149575
1925,1342.371828
1926,1345.604953
1927,1355.310478
1928,1348.251748
1929,1335.727298
1930,1370.15909
1931,1415.077373
1932,1428.330958
1933,1445.786565
1934,1456.818813
1935,1435.904908
1936,1446.663965
1937,1465.14269
1938,1478.736875
1939,1462.108093
1940,1489.720838
1941,1566.13063
1942,1574.575228
1943,1561.36008
1944,1555.23943
1945,1553.575873
1946,1541.36159
1947,1538.298913
1948,1514.818538
1949,1494.594878
1950,1694.066323
1951,1790.339473
1952,1768.037323
1953,1798.331875
1954,1905.1482800000001
1955,1944.110765
1956,1970.387323
1957,1998.789435
1958,1962.69274
1959,2113.450873
1960,1830.242763
1961,1861.498605
1962,1727.810008
1963,1681.573285
1964,1599.023423
1965,1535.236493
1966,1425.446193
1967,1474.033853
1968,1455.350468
1969,1592.78707
1970,1554.0670480000001
1971,1396.858585
1972,1471.222845
1973,1431.24242
1974,1402.401628
1975,1380.822075
1976,1387.600898
1977,1504.848328
1978,1477.362875
1979,1279.13548
1980,1355.767043
1981,1318.21517
1982,1240.093535
1983,1305.938035
1984,1539.051105
1985,1444.039308
1986,1508.508875
1987,1457.369903
1988,1411.295128
1989,1351.89318
1990,1358.24158
1991,1356.43488
1992,1435.046943
1993,1357.493798
1994,1607.362093
1995,1482.64461
1996,1640.975123
1997,2021.444815
1998,1676.981873
1999,1638.34922
2000,1445.74475
2001,1300.558948
2002,1399.595923
2003,1658.20847
2004,1474.886465
2005,1334.87545
2006,1455.281605
2007,1253.979128
2008,1331.959593
2009,1439.407263
2010,1497.793953
2011,1440.576193
2012,1542.545593
2013,1396.330583
2014,1472.760158
2015,1509.712795
2016,1202.579875
2017,1154.753955
2018,1049.322263
2019,1033.499808
2020,938.590505
2021,969.64621
2022,966.4405975
2023,989.332
