CH4 Date,CH4 Value
1010-01-01,667
1015-01-01,669
1020-01-01,670
1025-01-01,672
1030-01-01,673
1035-01-01,674
1040-01-01,675
1045-01-01,676
1050-01-01,677
1055-01-01,677
1060-01-01,678
1065-01-01,678
1070-01-01,678
1075-01-01,677
1080-01-01,677
1085-01-01,677
1090-01-01,677
1095-01-01,677
1100-01-01,678
1105-01-01,678
1110-01-01,679
1115-01-01,680
1120-01-01,681
1125-01-01,682
1130-01-01,683
1135-01-01,684
1140-01-01,684
1145-01-01,685
1150-01-01,686
1155-01-01,687
1160-01-01,687
1165-01-01,687
1170-01-01,687
1175-01-01,687
1180-01-01,686
1185-01-01,686
1190-01-01,685
1195-01-01,683
1200-01-01,682
1205-01-01,680
1210-01-01,678
1215-01-01,676
1220-01-01,673
1225-01-01,671
1230-01-01,669
1235-01-01,667
1240-01-01,665
1245-01-01,663
1250-01-01,662
1255-01-01,661
1260-01-01,661
1265-01-01,660
1270-01-01,661
1275-01-01,661
1280-01-01,662
1285-01-01,662
1290-01-01,663
1295-01-01,664
1300-01-01,666
1305-01-01,667
1310-01-01,668
1315-01-01,669
1320-01-01,670
1325-01-01,671
1330-01-01,673
1335-01-01,673
1340-01-01,674
1345-01-01,675
1350-01-01,675
1355-01-01,676
1360-01-01,676
1365-01-01,677
1370-01-01,677
1375-01-01,677
1380-01-01,677
1385-01-01,678
1390-01-01,678
1395-01-01,678
1400-01-01,678
1405-01-01,679
1410-01-01,679
1415-01-01,679
1420-01-01,679
1425-01-01,679
1430-01-01,679
1435-01-01,679
1440-01-01,679
1445-01-01,678
1450-01-01,678
1455-01-01,677
1460-01-01,677
1465-01-01,677
1470-01-01,677
1475-01-01,679
1480-01-01,681
1485-01-01,683
1490-01-01,686
1495-01-01,688
1500-01-01,691
1505-01-01,693
1510-01-01,695
1515-01-01,697
1520-01-01,699
1525-01-01,700
1530-01-01,701
1535-01-01,701
1540-01-01,701
1545-01-01,701
1550-01-01,699
1555-01-01,696
1560-01-01,693
1565-01-01,690
1570-01-01,686
1575-01-01,682
1580-01-01,678
1585-01-01,674
1590-01-01,672
1595-01-01,670
1600-01-01,670
